referencia;estante;nombre;nombre_corto;iva;costo;precio
4,90178E+11;0;CONTROL UNIVERSAL SONY;CONTROL UNIVERSAL SONY;16;0;24000
3144;0;REFLECTOR 500W 110V;REFLECTOR 500W 110V;16;12435;30000
3370;0;TABACO TV  GRUESO;TABACO TV  GRUESO;16;450;1500
1510;0;CAJA 2X4 PLASTICA;CAJA 2X4 PLASTICA;16;238;600
2021;0;CURVAS CONDUY 3/4;CURVAS CONDUY 3/4;16;251;500
1507;0;CAJA 10X10 METALICA;CAJA 10X10 METALICA;16;2400;3500
7,33344E+11;0;CEPILLO VANIPLAS TIESO;CEPILLO VANIPLAS TIESO;16;0;2800
7,33344E+11;0;CEPILLO LAVAROPA VANIPLAS;CEPILLO LAVAROPA VANIPLAS;16;3100;4600
1530;0;CAJA PLASTICA 10X10;CAJA PLASTICA 10X10;16;1498;3500
1526;0;CAJA METALICA 2X4;CAJA METALICA 2X4;16;300;600
1527;0;CAJA METALICA 4X4;CAJA METALICA 4X4;16;350;1000
1534;0;CAL  SUPERIOR X BULTO;CAL  SUPERIOR X BULTO;16;4656;8000
1537;0;CAL SUPERIOR POLVO;CAL SUPERIOR POLVO;16;5000;6800
7,70435E+11;0;PARRILLA AREPAS GAS HACEB;PARRILLA AREPAS GAS HACEB;16;5751;12500
1082;0;AMARRA TEJA INYECTADO;AMARRA TEJA INYECTADO;16;80;200
1083;0;AMARRA TEJA SENCILLA;AMARRA TEJA SENCILLA;16;78;150
7,70256E+11;0;MOLINO CORONA;MOLINO CORONA;16;45235;69000
1784;0;"CLAVO CAJA  CONCRETO 1""";"CLAVO CAJA  CONCRETO 1""";16;3181;5000
7,45301E+11;0;ESMERIL SEGURITY;ESMERIL SEGURITY;16;0;150000
1153;0;BASCULA COLUMPIO;BASCULA COLUMPIO;16;36213;60000
3258;0;RUANA ASFALTICA;RUANA ASFALTICA;16;20000;29000
7,70286E+11;0;EMBUDO MEDIANO;EMBUDO MEDIANO;16;1497;2600
2912;0;PEGA PVC X 1/128;PEGA PVC X 1/128;16;1454;2500
2913;0;PEGA PVC X 1/256;PEGA PVC X 1/256;16;941;1800
1950;0;CORTADORA VALDOSIN MT 124A;CORTADORA VALDOSIN MT 124A;16;55000;98000
2468;0;LAIMNA ZINC  CALIBRE 35, 90X25;LAIMNA ZINC  CALIBRE 35, 90X25;16;0;17000
2186;0;ESCUDO BANDERA;ESCUDO BANDERA;16;10000;16000
2911;0;PATE CABRA  TEMPLADORA;PATE CABRA  TEMPLADORA;16;3600;8000
1150;0;BARRETON CURVO;BARRETON CURVO;16;0;0
1151;0;BARRETON PLANO;BARRETON PLANO;16;0;0
1847;0;COCHE INDUCERA;COCHE INDUCERA;16;91872;130000
1097;0;ANTENA VENTURELLO  GRANDE;ANTENA VENTURELLO  GRANDE;16;0;85000
3667;0;"UNION HEMBRA 1""";"UNION HEMBRA 1""";16;831;1800
3677;0;"UNION MACHO 1""";"UNION MACHO 1""";16;695;1500
3390;0;"TAPON LISO 1"" PRESION";"TAPON LISO 1"" PRESION";16;438;1000
3409;0;"TAPON ROSCA 1""";"TAPON ROSCA 1""";16;743;1500
1868;0;"CODO PRESION 1""";"CODO PRESION 1""";16;833;1500
3672;0;"UNION LISA 1"" PRESION";"UNION LISA 1"" PRESION";16;439;1000
3420;0;"TE PRESION 1""";"TE PRESION 1""";16;1160;2500
1861;0;"CODO MEDIO 1""";"CODO MEDIO 1""";16;954;1600
3419;0;"TE PRESION 1 1/2""";"TE PRESION 1 1/2""";16;0;3500
3408;0;"TAPON ROSCA 1 1/2""";"TAPON ROSCA 1 1/2""";16;0;2200
3389;0;TAPON LISO 1 1/2 PRESION;TAPON LISO 1 1/2 PRESION;16;0;1800
1867;0;CODO PRESION 1 1/2;CODO PRESION 1 1/2;16;2200;3300
3666;0;UNION HEMBRA 1 1/2;UNION HEMBRA 1 1/2;16;0;2400
3671;0;UNION LISA 1 1/2 PRESION;UNION LISA 1 1/2 PRESION;16;770;1300
3676;0;UNION MACHO 1 1/2;UNION MACHO 1 1/2;16;1441;2500
1859;0;CODO MEDIO 1 1/2   C X E;CODO MEDIO 1 1/2   C X E;16;537;1600
3421;0;"TE PRESION 2""";"TE PRESION 2""";16;0;5500
