referencia;proveedor;estante;nombre;referencia2;iva;cantidad;costo;precio;unidad_medida;fecha;fecha_trx
1805;0;0;"CLAVO COMUN CONCABEZA 4""";243044605271;16;19;3352;4800;;02/02/2011;14/03/2016
770279402965;0;0;BANDEJA CON RODILLO;770279402965;16;0;0;12800;;02/02/2011;23/10/2014
490178080763;0;0;CONTROL UNIVERSAL SONY;490178080763;16;4;0;24000;;02/02/2011;03/08/2011
3144;0;0;REFLECTOR 500W 110V;243044605274;16;2;12435;30000;;02/02/2011;13/09/2013
3370;0;0;TABACO TV  GRUESO;243044605275;16;12;450;1500;;02/02/2011;19/02/2016
1510;0;0;CAJA 2X4 PLASTICA;243044605276;16;45;238;600;;02/02/2011;18/04/2016
2021;0;0;CURVAS CONDUY 3/4;243044605277;16;154;251;500;;02/02/2011;22/03/2016
1507;0;0;CAJA 10X10 METALICA;243044605278;16;7;2400;3500;;02/02/2011;14/02/2016
733344142428;0;0;CEPILLO VANIPLAS TIESO;733344142428;16;10;0;2800;;02/02/2011;15/12/2011
733344142818;0;0;CEPILLO LAVAROPA VANIPLAS;733344142818;16;3;3100;4600;;02/02/2011;15/02/2016
1530;0;0;CAJA PLASTICA 10X10;243044605281;16;10;1498;3500;;02/02/2011;02/12/2015
1526;0;0;CAJA METALICA 2X4;243044605283;16;14;300;600;;02/02/2011;27/01/2016
1527;0;0;CAJA METALICA 4X4;243044605284;16;75;350;1000;;02/02/2011;        
1534;0;0;CAL  SUPERIOR X BULTO;243044605285;16;11;4656;8000;;02/02/2011;26/03/2016
